area,nome_area,categoria_prevalente,totale_popolazione
ABR,Abruzzo,Immunocompromessi,20000
BAS,Basilicata,Immunocompromessi,20000
CAL,Calabria,Immunocompromessi,38000
CAM,Campania,Immunocompromessi,51905
EMR,Emilia-Romagna,Immunocompromessi,80000
FVG,Friuli-Venezia Giulia,Immunocompromessi,2360
LAZ,Lazio,Immunocompromessi,75000
LIG,Liguria,Immunocompromessi,34662
LOM,Lombardia,Immunocompromessi,134359
MAR,Marche,Immunocompromessi,63098
MOL,Molise,Immunocompromessi,8893
PAB,P.A. Bolzano,Immunocompromessi,5240
PAT,P.A. Trento,Immunocompromessi,8500
PIE,Piemonte,Immunocompromessi,52911
PUG,Puglia,Immunocompromessi,155641
SAR,Sardegna,Immunocompromessi,15000
SIC,Sicilia,Immunocompromessi,90000
TOS,Toscana,Immunocompromessi,45000
UMB,Umbria,Immunocompromessi,10922
VDA,Valle d'Aosta,Immunocompromessi,14027
VEN,Veneto,Immunocompromessi,72151
