area,nome_area,categoria_prevalente,totale_popolazione
ABR,Abruzzo,Operatori Sanitari e Sociosanitari,41943
ABR,Abruzzo,Ospiti Strutture Residenziali,8696
ABR,Abruzzo,Over 80,112782
BAS,Basilicata,Operatori Sanitari e Sociosanitari,15012
BAS,Basilicata,Ospiti Strutture Residenziali,3533
BAS,Basilicata,Over 80,44822
CAL,Calabria,Operatori Sanitari e Sociosanitari,55072
CAL,Calabria,Ospiti Strutture Residenziali,18262
CAL,Calabria,Over 80,125589
CAM,Campania,Operatori Sanitari e Sociosanitari,109336
CAM,Campania,Ospiti Strutture Residenziali,10044
CAM,Campania,Over 80,299996
EMR,Emilia-Romagna,Operatori Sanitari e Sociosanitari,182812
EMR,Emilia-Romagna,Ospiti Strutture Residenziali,31807
EMR,Emilia-Romagna,Over 80,349171
FVG,Friuli-Venezia Giulia,Operatori Sanitari e Sociosanitari,47625
FVG,Friuli-Venezia Giulia,Ospiti Strutture Residenziali,11678
FVG,Friuli-Venezia Giulia,Over 80,99447
LAZ,Lazio,Operatori Sanitari e Sociosanitari,204368
LAZ,Lazio,Ospiti Strutture Residenziali,25890
LAZ,Lazio,Over 80,397147
LIG,Liguria,Operatori Sanitari e Sociosanitari,56980
LIG,Liguria,Ospiti Strutture Residenziali,13831
LIG,Liguria,Over 80,147990
LOM,Lombardia,Operatori Sanitari e Sociosanitari,337614
LOM,Lombardia,Ospiti Strutture Residenziali,79177
LOM,Lombardia,Over 80,717467
MAR,Marche,Operatori Sanitari e Sociosanitari,48152
MAR,Marche,Ospiti Strutture Residenziali,9767
MAR,Marche,Over 80,127842
MOL,Molise,Operatori Sanitari e Sociosanitari,9524
MOL,Molise,Ospiti Strutture Residenziali,2991
MOL,Molise,Over 80,25472
PAB,P.A. Bolzano,Operatori Sanitari e Sociosanitari,15425
PAB,P.A. Bolzano,Ospiti Strutture Residenziali,4518
PAB,P.A. Bolzano,Over 80,31630
PAT,P.A. Trento,Operatori Sanitari e Sociosanitari,20000
PAT,P.A. Trento,Ospiti Strutture Residenziali,4818
PAT,P.A. Trento,Over 80,35320
PIE,Piemonte,Operatori Sanitari e Sociosanitari,152000
PIE,Piemonte,Ospiti Strutture Residenziali,39546
PIE,Piemonte,Over 80,353309
PUG,Puglia,Operatori Sanitari e Sociosanitari,140000
PUG,Puglia,Ospiti Strutture Residenziali,20658
PUG,Puglia,Over 80,264900
SAR,Sardegna,Operatori Sanitari e Sociosanitari,55237
SAR,Sardegna,Ospiti Strutture Residenziali,10640
SAR,Sardegna,Over 80,119010
SIC,Sicilia,Operatori Sanitari e Sociosanitari,141318
SIC,Sicilia,Ospiti Strutture Residenziali,35129
SIC,Sicilia,Over 80,319153
TOS,Toscana,Operatori Sanitari e Sociosanitari,139004
TOS,Toscana,Ospiti Strutture Residenziali,23509
TOS,Toscana,Over 80,318665
UMB,Umbria,Operatori Sanitari e Sociosanitari,30746
UMB,Umbria,Ospiti Strutture Residenziali,6058
UMB,Umbria,Over 80,83202
VDA,Valle d'Aosta,Operatori Sanitari e Sociosanitari,3877
VDA,Valle d'Aosta,Ospiti Strutture Residenziali,961
VDA,Valle d'Aosta,Over 80,9191
VEN,Veneto,Operatori Sanitari e Sociosanitari,154034
VEN,Veneto,Ospiti Strutture Residenziali,48072
VEN,Veneto,Over 80,342255
