area,nome_area,fascia_anagrafica,totale_popolazione
ABR,Abruzzo,12-19,94788
ABR,Abruzzo,20-29,125320
ABR,Abruzzo,30-39,146802
ABR,Abruzzo,40-49,187198
ABR,Abruzzo,50-59,208119
ABR,Abruzzo,60-69,171490
ABR,Abruzzo,70-79,137406
ABR,Abruzzo,80+,116953
BAS,Basilicata,12-19,40986
BAS,Basilicata,20-29,56344
BAS,Basilicata,30-39,61133
BAS,Basilicata,40-49,75024
BAS,Basilicata,50-59,88103
BAS,Basilicata,60-69,75314
BAS,Basilicata,70-79,51805
BAS,Basilicata,80+,46235
CAL,Calabria,12-19,147529
CAL,Calabria,20-29,200011
CAL,Calabria,30-39,223802
CAL,Calabria,40-49,260182
CAL,Calabria,50-59,287366
CAL,Calabria,60-69,247325
CAL,Calabria,70-79,185899
CAL,Calabria,80+,138517
CAM,Campania,12-19,506487
CAM,Campania,20-29,683931
CAM,Campania,30-39,712084
CAM,Campania,40-49,827843
CAM,Campania,50-59,889172
CAM,Campania,60-69,698550
CAM,Campania,70-79,477420
CAM,Campania,80+,304317
EMR,Emilia-Romagna,12-19,327350
EMR,Emilia-Romagna,20-29,418054
EMR,Emilia-Romagna,30-39,487877
EMR,Emilia-Romagna,40-49,667770
EMR,Emilia-Romagna,50-59,717140
EMR,Emilia-Romagna,60-69,552908
EMR,Emilia-Romagna,70-79,455912
EMR,Emilia-Romagna,80+,368307
FVG,Friuli-Venezia Giulia,12-19,85569
FVG,Friuli-Venezia Giulia,20-29,107946
FVG,Friuli-Venezia Giulia,30-39,121378
FVG,Friuli-Venezia Giulia,40-49,170439
FVG,Friuli-Venezia Giulia,50-59,198901
FVG,Friuli-Venezia Giulia,60-69,157255
FVG,Friuli-Venezia Giulia,70-79,140238
FVG,Friuli-Venezia Giulia,80+,105679
LAZ,Lazio,12-19,455216
LAZ,Lazio,20-29,584561
LAZ,Lazio,30-39,717061
LAZ,Lazio,40-49,937825
LAZ,Lazio,50-59,996186
LAZ,Lazio,60-69,746130
LAZ,Lazio,70-79,551447
LAZ,Lazio,80+,412287
LIG,Liguria,12-19,104006
LIG,Liguria,20-29,135185
LIG,Liguria,30-39,148932
LIG,Liguria,40-49,205625
LIG,Liguria,50-59,258629
LIG,Liguria,60-69,208190
LIG,Liguria,70-79,182496
LIG,Liguria,80+,156276
LOM,Lombardia,12-19,793822
LOM,Lombardia,20-29,994740
LOM,Lombardia,30-39,1196415
LOM,Lombardia,40-49,1566425
LOM,Lombardia,50-59,1672583
LOM,Lombardia,60-69,1238201
LOM,Lombardia,70-79,1006561
LOM,Lombardia,80+,765259
MAR,Marche,12-19,113074
MAR,Marche,20-29,142896
MAR,Marche,30-39,162079
MAR,Marche,40-49,221299
MAR,Marche,50-59,240946
MAR,Marche,60-69,197116
MAR,Marche,70-79,155941
MAR,Marche,80+,133365
MOL,Molise,12-19,20501
MOL,Molise,20-29,29698
MOL,Molise,30-39,32512
MOL,Molise,40-49,40266
MOL,Molise,50-59,46723
MOL,Molise,60-69,41053
MOL,Molise,70-79,30901
MOL,Molise,80+,27222
PAB,P.A. Bolzano,12-19,45629
PAB,P.A. Bolzano,20-29,59398
PAB,P.A. Bolzano,30-39,61408
PAB,P.A. Bolzano,40-49,72633
PAB,P.A. Bolzano,50-59,84361
PAB,P.A. Bolzano,60-69,59456
PAB,P.A. Bolzano,70-79,46417
PAB,P.A. Bolzano,80+,30732
PAT,P.A. Trento,12-19,44201
PAT,P.A. Trento,20-29,56603
PAT,P.A. Trento,30-39,59187
PAT,P.A. Trento,40-49,74693
PAT,P.A. Trento,50-59,85435
PAT,P.A. Trento,60-69,67849
PAT,P.A. Trento,70-79,52500
PAT,P.A. Trento,80+,38400
PIE,Piemonte,12-19,310420
PIE,Piemonte,20-29,404497
PIE,Piemonte,30-39,451020
PIE,Piemonte,40-49,612039
PIE,Piemonte,50-59,701267
PIE,Piemonte,60-69,566782
PIE,Piemonte,70-79,484838
PIE,Piemonte,80+,379802
PUG,Puglia,12-19,321752
PUG,Puglia,20-29,429943
PUG,Puglia,30-39,458279
PUG,Puglia,40-49,584606
PUG,Puglia,50-59,625431
PUG,Puglia,60-69,508282
PUG,Puglia,70-79,390534
PUG,Puglia,80+,268126
SAR,Sardegna,12-19,109487
SAR,Sardegna,20-29,145136
SAR,Sardegna,30-39,180784
SAR,Sardegna,40-49,248965
SAR,Sardegna,50-59,271082
SAR,Sardegna,60-69,229547
SAR,Sardegna,70-79,175751
SAR,Sardegna,80+,124768
SIC,Sicilia,12-19,406802
SIC,Sicilia,20-29,544547
SIC,Sicilia,30-39,583790
SIC,Sicilia,40-49,694464
SIC,Sicilia,50-59,754974
SIC,Sicilia,60-69,629903
SIC,Sicilia,70-79,476607
SIC,Sicilia,80+,342909
TOS,Toscana,12-19,270124
TOS,Toscana,20-29,338073
TOS,Toscana,30-39,397302
TOS,Toscana,40-49,546649
TOS,Toscana,50-59,603627
TOS,Toscana,60-69,477585
TOS,Toscana,70-79,406475
TOS,Toscana,80+,326067
UMB,Umbria,12-19,63473
UMB,Umbria,20-29,77928
UMB,Umbria,30-39,91829
UMB,Umbria,40-49,123644
UMB,Umbria,50-59,136001
UMB,Umbria,60-69,112304
UMB,Umbria,70-79,97653
UMB,Umbria,80+,85981
VDA,Valle d'Aosta,12-19,9363
VDA,Valle d'Aosta,20-29,11462
VDA,Valle d'Aosta,30-39,12481
VDA,Valle d'Aosta,40-49,17343
VDA,Valle d'Aosta,50-59,20730
VDA,Valle d'Aosta,60-69,16085
VDA,Valle d'Aosta,70-79,12973
VDA,Valle d'Aosta,80+,9556
VEN,Veneto,12-19,381352
VEN,Veneto,20-29,478915
VEN,Veneto,30-39,524971
