area,denominazione_struttura,tipologia,codice_NUTS1,codice_NUTS2,codice_regione_ISTAT,nome_area
ABR,ASP1-TERAMO-CASA DI RIPOSO-ALESSANDRINI,Territoriale,ITF,ITF1,13,Abruzzo
ABR,ASP1-TERAMO-CASA DI RIPOSO-DE BENEDICTIS,Territoriale,ITF,ITF1,13,Abruzzo
ABR,AVEZZANO-SULMONA-L'AQUILA,Ospedaliero,ITF,ITF1,13,Abruzzo
ABR,C.TRO RESIDENZ. ANZIANI 'LA CASA DEL SOLE',Territoriale,ITF,ITF1,13,Abruzzo
ABR,C.TRO RESIDENZ. ANZIANI 'SEN. G. BORRELLI',Territoriale,ITF,ITF1,13,Abruzzo
ABR,CASA DI CURA I.N.I. CANISTRO,Ospedaliero,ITF,ITF1,13,Abruzzo
ABR,CASA DI CURA PIERANGELI,Ospedaliero,ITF,ITF1,13,Abruzzo
ABR,CASA DI CURA VILLA SERENA,Ospedaliero,ITF,ITF1,13,Abruzzo
ABR,CASA SOLLIEVO S. CAMILLO,Territoriale,ITF,ITF1,13,Abruzzo
ABR,CDC S.CAMILLA-C.RIA.VILLA PINI,Territoriale,ITF,ITF1,13,Abruzzo
ABR,CENTO RIABILITAZIONE S.AGNESE,Territoriale,ITF,ITF1,13,Abruzzo
ABR,CENTRO EX ART 26 PIZZOLI,Territoriale,ITF,ITF1,13,Abruzzo
ABR,CENTRO FISIOT.RIAB.MEDICAL MAR,Territoriale,ITF,ITF1,13,Abruzzo
ABR,CENTRO MEDISALUS S.R.L.,Territoriale,ITF,ITF1,13,Abruzzo
ABR,CENTRO RIAB VILLA DOROTEA,Territoriale,ITF,ITF1,13,Abruzzo
ABR,CENTRO RIABILITAZIONE  SANEX,Territoriale,ITF,ITF1,13,Abruzzo
ABR,CENTRO SAN VENANZIO,Territoriale,ITF,ITF1,13,Abruzzo
ABR,CISE RSA SANTA MARIA AUSILIATRICE,Territoriale,ITF,ITF1,13,Abruzzo
ABR,COM. ALLOG. CASTELNUOVO UOMINI,Territoriale,ITF,ITF1,13,Abruzzo
ABR,COMUNITA' PASSAGGI S.R.L.,Territoriale,ITF,ITF1,13,Abruzzo
ABR,COMUNITA' SOCIO RIABILITATIVA FAMILIARE L'AQUILA,Territoriale,ITF,ITF1,13,Abruzzo
ABR,COMUNITA' SOCIO RIABILITATIVA FAMILIARE SAN DEMETRIO,Territoriale,ITF,ITF1,13,Abruzzo
ABR,CONC S. STEFANO TERAMO,Territoriale,ITF,ITF1,13,Abruzzo
ABR,CONS. S.STEFANO S.EGIDIO,Territoriale,ITF,ITF1,13,Abruzzo
ABR,CONSULTORIO SAN VITO CHIETINO,Territoriale,ITF,ITF1,13,Abruzzo
ABR,COOP. SOC. FRATERNITAS,Territoriale,ITF,ITF1,13,Abruzzo
