area,reg,eta,guariti_senza_somm,guariti_post_somm,guariti_post_1booster,guariti_post_2booster
ABR,Abruzzo,00-04,110,0,0,0
ABR,Abruzzo,05-11,88,0,0,0
ABR,Abruzzo,12-19,31,25,0,0
ABR,Abruzzo,20-29,12,104,0,0
ABR,Abruzzo,30-39,33,195,0,0
ABR,Abruzzo,40-49,60,262,0,0
ABR,Abruzzo,50-59,56,338,0,0
ABR,Abruzzo,60-69,39,342,990,84
ABR,Abruzzo,70-79,20,233,791,156
ABR,Abruzzo,80+,26,90,468,138
BAS,Basilicata,00-04,8,0,0,0
BAS,Basilicata,05-11,4,0,0,0
BAS,Basilicata,12-19,1,1,0,0
BAS,Basilicata,20-29,0,1,0,0
BAS,Basilicata,30-39,1,7,0,0
BAS,Basilicata,40-49,1,4,0,0
BAS,Basilicata,50-59,1,14,0,0
BAS,Basilicata,60-69,0,15,67,7
BAS,Basilicata,70-79,1,5,37,6
BAS,Basilicata,80+,3,3,64,6
CAL,Calabria,00-04,3,0,0,0
CAL,Calabria,05-11,9,0,0,0
CAL,Calabria,12-19,11,3,0,0
CAL,Calabria,20-29,2,16,0,0
CAL,Calabria,30-39,5,24,0,0
CAL,Calabria,40-49,10,29,0,0
CAL,Calabria,50-59,10,34,0,0
CAL,Calabria,60-69,3,29,181,5
CAL,Calabria,70-79,3,7,58,9
CAL,Calabria,80+,1,4,45,19
CAM,Campania,00-04,435,0,0,0
CAM,Campania,05-11,241,0,0,0
CAM,Campania,12-19,120,45,0,0
CAM,Campania,20-29,70,202,0,0
CAM,Campania,30-39,126,358,0,0
CAM,Campania,40-49,160,423,0,0
CAM,Campania,50-59,160,595,0,0
CAM,Campania,60-69,150,682,3065,308
CAM,Campania,70-79,147,601,2492,568
CAM,Campania,80+,147,166,1357,547
EMR,Emilia-Romagna,00-04,196,0,0,0
EMR,Emilia-Romagna,05-11,90,0,0,0
EMR,Emilia-Romagna,12-19,63,22,0,0
EMR,Emilia-Romagna,20-29,78,192,0,0
EMR,Emilia-Romagna,30-39,115,342,0,0
EMR,Emilia-Romagna,40-49,133,465,0,0
EMR,Emilia-Romagna,50-59,140,594,0,0
EMR,Emilia-Romagna,60-69,132,471,1944,448
EMR,Emilia-Romagna,70-79,93,479,1835,719
EMR,Emilia-Romagna,80+,107,238,1648,1283
FVG,Friuli-Venezia Giulia,00-04,43,0,0,0
FVG,Friuli-Venezia Giulia,05-11,40,0,0,0
FVG,Friuli-Venezia Giulia,12-19,6,7,0,0
FVG,Friuli-Venezia Giulia,20-29,34,40,0,0
FVG,Friuli-Venezia Giulia,30-39,43,41,0,0
FVG,Friuli-Venezia Giulia,40-49,55,62,0,0
FVG,Friuli-Venezia Giulia,50-59,91,85,0,0
FVG,Friuli-Venezia Giulia,60-69,56,74,508,77
FVG,Friuli-Venezia Giulia,70-79,47,101,445,150
FVG,Friuli-Venezia Giulia,80+,61,45,489,229
LAZ,Lazio,00-04,123,0,0,0
LAZ,Lazio,05-11,75,0,0,0
LAZ,Lazio,12-19,59,19,0,0
LAZ,Lazio,20-29,17,70,0,0
LAZ,Lazio,30-39,42,111,0,0
LAZ,Lazio,40-49,62,171,0,0
LAZ,Lazio,50-59,91,253,0,0
LAZ,Lazio,60-69,45,176,1036,121
LAZ,Lazio,70-79,14,64,568,160
LAZ,Lazio,80+,10,30,273,181
LIG,Liguria,00-04,4,0,0,0
LIG,Liguria,05-11,8,0,0,0
LIG,Liguria,12-19,1,0,0,0
LIG,Liguria,20-29,1,1,0,0
LIG,Liguria,30-39,0,4,0,0
LIG,Liguria,40-49,4,11,0,0
LIG,Liguria,50-59,7,10,0,0
LIG,Liguria,60-69,5,8,36,4
LIG,Liguria,70-79,2,5,28,4
LIG,Liguria,80+,5,1,47,9
LOM,Lombardia,00-04,725,0,0,0
LOM,Lombardia,05-11,297,0,0,0
LOM,Lombardia,12-19,135,57,0,0
LOM,Lombardia,20-29,134,214,0,0
LOM,Lombardia,30-39,242,365,0,0
LOM,Lombardia,40-49,281,471,0,0
LOM,Lombardia,50-59,294,659,0,0
LOM,Lombardia,60-69,224,625,4275,644
LOM,Lombardia,70-79,207,535,3848,1104
LOM,Lombardia,80+,232,272,3259,1903
MAR,Marche,00-04,45,0,0,0
MAR,Marche,05-11,52,0,0,0
MAR,Marche,12-19,29,20,0,0
MAR,Marche,20-29,30,51,0,0
MAR,Marche,30-39,46,104,0,0
MAR,Marche,40-49,63,126,0,0
MAR,Marche,50-59,56,162,0,0
MAR,Marche,60-69,50,217,893,79
MAR,Marche,70-79,30,217,797,133
MAR,Marche,80+,48,121,786,137
MOL,Molise,00-04,6,0,0,0
MOL,Molise,05-11,8,0,0,0
MOL,Molise,12-19,4,0,0,0
MOL,Molise,20-29,0,0,0,0
MOL,Molise,30-39,3,1,0,0
MOL,Molise,40-49,4,1,0,0
MOL,Molise,50-59,5,3,0,0
MOL,Molise,60-69,3,2,79,11
MOL,Molise,70-79,3,1,40,10
MOL,Molise,80+,1,0,23,18
PAB,P.A. Bolzano,00-04,1,0,0,0
PAB,P.A. Bolzano,05-11,0,0,0,0
PAB,P.A. Bolzano,12-19,2,0,0,0
PAB,P.A. Bolzano,20-29,1,1,0,0
PAB,P.A. Bolzano,30-39,0,0,0,0
PAB,P.A. Bolzano,40-49,0,0,0,0
PAB,P.A. Bolzano,50-59,1,2,0,0
PAB,P.A. Bolzano,60-69,2,0,4,0
PAB,P.A. Bolzano,70-79,1,0,1,0
PAB,P.A. Bolzano,80+,1,1,8,3
PAT,P.A. Trento,00-04,45,0,0,0
PAT,P.A. Trento,05-11,9,0,0,0
PAT,P.A. Trento,12-19,5,5,0,0
PAT,P.A. Trento,20-29,12,12,0,0
PAT,P.A. Trento,30-39,18,6,0,0
PAT,P.A. Trento,40-49,14,15,0,0
PAT,P.A. Trento,50-59,19,34,0,0
PAT,P.A. Trento,60-69,15,34,234,35
PAT,P.A. Trento,70-79,15,27,214,35
PAT,P.A. Trento,80+,13,26,244,54
PIE,Piemonte,00-04,77,0,0,0
PIE,Piemonte,05-11,33,0,0,0
PIE,Piemonte,12-19,26,9,0,0
PIE,Piemonte,20-29,20,47,0,0
PIE,Piemonte,30-39,30,88,0,0
PIE,Piemonte,40-49,58,65,0,0
PIE,Piemonte,50-59,64,146,0,0
PIE,Piemonte,60-69,69,146,833,151
PIE,Piemonte,70-79,52,159,845,261
PIE,Piemonte,80+,66,105,952,542
PUG,Puglia,00-04,182,0,0,0
PUG,Puglia,05-11,115,0,0,0
PUG,Puglia,12-19,56,25,0,0
PUG,Puglia,20-29,38,103,0,0
PUG,Puglia,30-39,51,146,0,0
PUG,Puglia,40-49,72,196,0,0
PUG,Puglia,50-59,70,274,0,0
PUG,Puglia,60-69,45,290,1515,168
PUG,Puglia,70-79,54,255,1285,188
