data,forn,area,eta,m,f,d,N1,N2,ISTAT,reg
2023-09-25,Moderna,PIE,70-79,1,0,1,ITC,ITC1,1,Piemonte
2023-09-25,Pfizer/BioNTech,CAM,20-29,1,2,3,ITF,ITF3,15,Campania
2023-09-25,Pfizer/BioNTech,CAM,50-59,0,1,1,ITF,ITF3,15,Campania
2023-09-25,Pfizer/BioNTech,EMR,05-11,0,2,2,ITH,ITH5,8,Emilia-Romagna
2023-09-25,Pfizer/BioNTech,EMR,30-39,0,1,1,ITH,ITH5,8,Emilia-Romagna
2023-09-25,Pfizer/BioNTech,EMR,40-49,1,2,3,ITH,ITH5,8,Emilia-Romagna
2023-09-25,Pfizer/BioNTech,EMR,50-59,1,0,1,ITH,ITH5,8,Emilia-Romagna
2023-09-25,Pfizer/BioNTech,EMR,60-69,2,2,4,ITH,ITH5,8,Emilia-Romagna
2023-09-25,Pfizer/BioNTech,EMR,70-79,1,2,3,ITH,ITH5,8,Emilia-Romagna
2023-09-25,Pfizer/BioNTech,EMR,90+,0,1,1,ITH,ITH5,8,Emilia-Romagna
2023-09-25,Pfizer/BioNTech,LAZ,30-39,0,1,1,ITI,ITI4,12,Lazio
2023-09-25,Pfizer/BioNTech,LOM,12-19,1,0,1,ITC,ITC4,3,Lombardia
2023-09-25,Pfizer/BioNTech,LOM,20-29,0,2,2,ITC,ITC4,3,Lombardia
2023-09-25,Pfizer/BioNTech,LOM,30-39,3,4,7,ITC,ITC4,3,Lombardia
2023-09-25,Pfizer/BioNTech,LOM,40-49,1,0,1,ITC,ITC4,3,Lombardia
2023-09-25,Pfizer/BioNTech,LOM,50-59,2,2,4,ITC,ITC4,3,Lombardia
2023-09-25,Pfizer/BioNTech,LOM,60-69,18,11,29,ITC,ITC4,3,Lombardia
2023-09-25,Pfizer/BioNTech,LOM,70-79,12,9,21,ITC,ITC4,3,Lombardia
2023-09-25,Pfizer/BioNTech,LOM,80-89,11,3,14,ITC,ITC4,3,Lombardia
2023-09-25,Pfizer/BioNTech,LOM,90+,0,1,1,ITC,ITC4,3,Lombardia
2023-09-25,Pfizer/BioNTech,MAR,70-79,1,0,1,ITI,ITI3,11,Marche
2023-09-25,Pfizer/BioNTech,PAT,40-49,1,1,2,ITH,ITH2,4,Provincia Autonoma Trento
2023-09-25,Pfizer/BioNTech,PAT,50-59,2,1,3,ITH,ITH2,4,Provincia Autonoma Trento
2023-09-25,Pfizer/BioNTech,PAT,60-69,3,1,4,ITH,ITH2,4,Provincia Autonoma Trento
2023-09-25,Pfizer/BioNTech,PAT,80-89,2,0,2,ITH,ITH2,4,Provincia Autonoma Trento
2023-09-25,Pfizer/BioNTech,PIE,40-49,0,1,1,ITC,ITC1,1,Piemonte
2023-09-25,Pfizer/BioNTech,PIE,50-59,2,0,2,ITC,ITC1,1,Piemonte
2023-09-25,Pfizer/BioNTech,PIE,60-69,0,1,1,ITC,ITC1,1,Piemonte
2023-09-25,Pfizer/BioNTech,PIE,70-79,0,1,1,ITC,ITC1,1,Piemonte
2023-09-25,Pfizer/BioNTech,TOS,20-29,1,0,1,ITI,ITI1,9,Toscana
2023-09-25,Pfizer/BioNTech,TOS,30-39,2,0,2,ITI,ITI1,9,Toscana
2023-09-25,Pfizer/BioNTech,TOS,40-49,2,0,2,ITI,ITI1,9,Toscana
2023-09-25,Pfizer/BioNTech,TOS,80-89,0,1,1,ITI,ITI1,9,Toscana
2023-09-26,Pfizer Pediatrico,PIE,05-11,1,0,1,ITC,ITC1,1,Piemonte
2023-09-26,Pfizer/BioNTech,EMR,50-59,1,0,1,ITH,ITH5,8,Emilia-Romagna
2023-09-26,Pfizer/BioNTech,EMR,60-69,3,1,4,ITH,ITH5,8,Emilia-Romagna
2023-09-26,Pfizer/BioNTech,EMR,70-79,1,0,1,ITH,ITH5,8,Emilia-Romagna
2023-09-26,Pfizer/BioNTech,FVG,60-69,2,1,3,ITH,ITH4,6,Friuli-Venezia Giulia
2023-09-26,Pfizer/BioNTech,LIG,50-59,0,1,1,ITC,ITC3,7,Liguria
2023-09-26,Pfizer/BioNTech,LIG,60-69,1,1,2,ITC,ITC3,7,Liguria
2023-09-26,Pfizer/BioNTech,LIG,70-79,3,2,5,ITC,ITC3,7,Liguria
2023-09-26,Pfizer/BioNTech,LIG,80-89,2,1,3,ITC,ITC3,7,Liguria
2023-09-26,Pfizer/BioNTech,LOM,05-11,1,0,1,ITC,ITC4,3,Lombardia
2023-09-26,Pfizer/BioNTech,LOM,20-29,1,3,4,ITC,ITC4,3,Lombardia
2023-09-26,Pfizer/BioNTech,LOM,30-39,4,2,6,ITC,ITC4,3,Lombardia
