data,area,totale,m,f,d,N1,N2,ISTAT,reg
2023-10-12,CAL,12,5,7,12,ITF,ITF6,18,Calabria
2023-10-19,CAL,23,12,11,23,ITF,ITF6,18,Calabria
2023-10-25,CAL,25,15,10,25,ITF,ITF6,18,Calabria
2023-10-28,CAL,12,7,5,12,ITF,ITF6,18,Calabria
2023-11-04,CAL,40,21,19,40,ITF,ITF6,18,Calabria
2023-11-07,CAL,109,65,44,109,ITF,ITF6,18,Calabria
2023-11-10,CAL,60,28,32,60,ITF,ITF6,18,Calabria
2023-09-29,CAM,11,6,5,11,ITF,ITF3,15,Campania
2023-10-02,CAM,4,3,1,4,ITF,ITF3,15,Campania
2023-10-05,CAM,40,24,16,40,ITF,ITF3,15,Campania
2023-10-12,CAM,232,130,102,232,ITF,ITF3,15,Campania
2023-10-15,CAM,12,5,7,12,ITF,ITF3,15,Campania
2023-10-18,CAM,341,195,146,341,ITF,ITF3,15,Campania
2023-10-21,CAM,44,24,20,44,ITF,ITF3,15,Campania
2023-10-28,CAM,77,42,35,77,ITF,ITF3,15,Campania
2023-10-31,CAM,123,56,67,123,ITF,ITF3,15,Campania
2023-11-03,CAM,346,198,148,346,ITF,ITF3,15,Campania
2023-11-10,CAM,324,184,140,324,ITF,ITF3,15,Campania
2023-11-13,CAM,320,174,146,320,ITF,ITF3,15,Campania
2023-09-26,EMR,6,5,1,6,ITH,ITH5,8,Emilia-Romagna
2023-09-29,EMR,8,6,2,8,ITH,ITH5,8,Emilia-Romagna
2023-10-02,EMR,3,1,2,3,ITH,ITH5,8,Emilia-Romagna
2023-10-09,EMR,2,1,1,2,ITH,ITH5,8,Emilia-Romagna
2023-10-12,EMR,72,35,37,72,ITH,ITH5,8,Emilia-Romagna
2023-10-18,EMR,1900,914,986,1900,ITH,ITH5,8,Emilia-Romagna
2023-10-25,EMR,4680,2213,2467,4680,ITH,ITH5,8,Emilia-Romagna
2023-10-28,EMR,2084,1002,1082,2084,ITH,ITH5,8,Emilia-Romagna
2023-10-31,EMR,4741,2205,2536,4741,ITH,ITH5,8,Emilia-Romagna
