data_somministrazione,area,totale,sesso_maschile,sesso_femminile,prima_dose,seconda_dose,pregressa_infezione,dose_aggiuntiva,dose_booster,codice_NUTS1,codice_NUTS2,codice_regione_ISTAT,nome_area
2021-01-12,PUG,4229,1779,2450,4151,0,78,0,0,ITF,ITF4,16,Puglia
2021-02-16,LOM,9539,3081,6458,8519,414,606,0,0,ITC,ITC4,3,Lombardia
2021-04-16,LAZ,34639,15801,18838,21833,12205,601,0,0,ITI,ITI4,12,Lazio
2021-06-21,EMR,37615,19019,18596,16113,20810,692,0,0,ITH,ITH5,8,Emilia-Romagna
2021-09-22,SAR,10506,5715,4791,2408,7932,126,36,4,ITG,ITG2,20,Sardegna
2021-03-02,CAM,12763,4560,8203,8277,4188,298,0,0,ITF,ITF3,15,Campania
2021-04-18,CAL,5898,2818,3080,4946,924,28,0,0,ITF,ITF6,18,Calabria
2021-05-20,PAB,4981,2504,2477,3338,1457,186,0,0,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-08-30,LIG,9866,5275,4591,2495,7258,113,0,0,ITC,ITC3,7,Liguria
2021-09-15,SIC,21366,10715,10651,7450,13520,396,0,0,ITG,ITG1,19,Sicilia
2021-11-06,UMB,2830,1361,1469,219,724,20,794,1073,ITI,ITI2,10,Umbria
2021-01-11,CAL,2202,1065,1137,2199,0,3,0,0,ITF,ITF6,18,Calabria
2021-04-08,BAS,788,361,427,757,10,21,0,0,ITF,ITF5,17,Basilicata
2021-07-01,TOS,32112,15546,16566,10685,21045,382,0,0,ITI,ITI1,9,Toscana
2021-07-13,VEN,43593,22622,20971,5529,37715,349,0,0,ITH,ITH3,5,Veneto
2020-12-27,ABR,47,24,23,47,0,0,0,0,ITF,ITF1,13,Abruzzo
2021-01-27,VDA,157,75,82,81,73,3,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-02-06,PAT,582,302,280,440,141,1,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2021-03-26,TOS,20760,9439,11321,14712,5805,243,0,0,ITI,ITI1,9,Toscana
2021-06-27,MOL,2390,1129,1261,1144,1235,11,0,0,ITF,ITF2,14,Molise
2021-07-08,EMR,41365,20608,20757,4784,36130,451,0,0,ITH,ITH5,8,Emilia-Romagna
2021-10-09,SAR,784,414,370,392,321,26,4,41,ITG,ITG2,20,Sardegna
2021-01-25,CAL,1090,522,568,152,938,0,0,0,ITF,ITF6,18,Calabria
2021-04-20,VDA,939,432,507,704,196,39,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-04-22,BAS,5062,2360,2702,3379,1625,58,0,0,ITF,ITF5,17,Basilicata
2021-06-10,LOM,102744,52279,50465,86560,14284,1900,0,0,ITC,ITC4,3,Lombardia
2021-06-24,SIC,42381,19677,22704,17602,24346,433,0,0,ITG,ITG1,19,Sicilia
2021-08-11,PAB,1216,614,602,678,475,63,0,0,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-08-15,UMB,4423,2399,2024,2886,1385,152,0,0,ITI,ITI2,10,Umbria
2021-09-21,ABR,3860,2122,1738,1667,2014,91,73,15,ITF,ITF1,13,Abruzzo
2021-10-13,EMR,15936,8563,7373,4471,6336,285,840,4004,ITH,ITH5,8,Emilia-Romagna
2021-01-15,BAS,819,353,466,813,0,6,0,0,ITF,ITF5,17,Basilicata
2021-01-23,LAZ,7225,2873,4352,665,6553,7,0,0,ITI,ITI4,12,Lazio
2021-02-11,LIG,1995,774,1221,1106,834,55,0,0,ITC,ITC3,7,Liguria
2021-03-30,EMR,23359,10345,13014,17879,5022,458,0,0,ITH,ITH5,8,Emilia-Romagna
2021-07-01,SAR,19839,9768,10071,7218,12473,148,0,0,ITG,ITG2,20,Sardegna
2021-10-04,VEN,12306,6592,5714,4652,5441,263,605,1345,ITH,ITH3,5,Veneto
2021-10-05,MOL,1481,697,784,95,178,5,27,1176,ITF,ITF2,14,Molise
2021-01-06,LAZ,5227,2001,3226,5097,0,130,0,0,ITI,ITI4,12,Lazio
2021-01-10,VDA,222,72,150,203,0,19,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-02-23,PAT,1128,403,725,890,210,28,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2021-03-02,LOM,22849,9715,13134,19499,2732,618,0,0,ITC,ITC4,3,Lombardia
2021-03-09,TOS,11183,4593,6590,5643,5433,107,0,0,ITI,ITI1,9,Toscana
2021-03-24,MAR,7099,3020,4079,3311,3706,82,0,0,ITI,ITI3,11,Marche
2021-03-28,FVG,4958,2362,2596,4650,144,164,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-05-05,CAL,13662,6536,7126,8410,5160,92,0,0,ITF,ITF6,18,Calabria
2021-07-31,BAS,5474,2881,2593,1819,3594,61,0,0,ITF,ITF5,17,Basilicata
2021-09-10,PIE,17405,9103,8302,5196,11486,723,0,0,ITC,ITC1,1,Piemonte
2021-03-23,SAR,6499,2904,3595,5203,1081,215,0,0,ITG,ITG2,20,Sardegna
2021-04-05,PUG,12801,6221,6580,12040,535,226,0,0,ITF,ITF4,16,Puglia
2021-05-22,LIG,6659,3222,3437,4866,1679,114,0,0,ITC,ITC3,7,Liguria
2021-06-07,SIC,49695,23421,26274,41093,8014,588,0,0,ITG,ITG1,19,Sicilia
2021-07-29,UMB,8223,4231,3992,2146,5946,131,0,0,ITI,ITI2,10,Umbria
2021-08-28,PAB,3326,1869,1457,1077,2204,45,0,0,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-10-30,EMR,15610,7689,7921,1416,5195,214,1045,7740,ITH,ITH5,8,Emilia-Romagna
2020-12-27,VDA,20,9,11,20,0,0,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-01-16,TOS,3298,1059,2239,3237,0,61,0,0,ITI,ITI1,9,Toscana
2021-03-19,PUG,8012,3677,4335,3381,4579,52,0,0,ITF,ITF4,16,Puglia
2021-03-20,ABR,4795,2201,2594,2570,2162,63,0,0,ITF,ITF1,13,Abruzzo
2021-04-16,EMR,29241,13759,15482,19903,8787,551,0,0,ITH,ITH5,8,Emilia-Romagna
2021-08-08,PAT,645,345,300,248,389,8,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2021-09-18,MOL,1323,746,577,470,838,15,0,0,ITF,ITF2,14,Molise
2021-09-28,PAB,1326,767,559,636,138,0,546,6,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-01-07,MOL,602,210,392,598,0,4,0,0,ITF,ITF2,14,Molise
2021-01-11,VEN,7246,2104,5142,7025,0,221,0,0,ITH,ITH3,5,Veneto
2021-06-01,MAR,12057,6159,5898,9694,2075,288,0,0,ITI,ITI3,11,Marche
2021-07-12,VDA,979,483,496,238,733,8,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-02-07,MOL,67,32,35,20,47,0,0,0,ITF,ITF2,14,Molise
2021-02-12,PAB,730,217,513,404,246,80,0,0,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-03-23,PIE,12903,5438,7465,6424,6055,424,0,0,ITC,ITC1,1,Piemonte
2021-07-14,MOL,3446,1685,1761,220,3208,18,0,0,ITF,ITF2,14,Molise
2021-08-27,PIE,17495,9345,8150,7654,9163,678,0,0,ITC,ITC1,1,Piemonte
2021-09-15,CAM,15313,7572,7741,6075,8546,692,0,0,ITF,ITF3,15,Campania
2021-04-19,PUG,27791,12912,14879,24266,3040,485,0,0,ITF,ITF4,16,Puglia
2021-07-22,LAZ,61286,30618,30668,28388,31259,1639,0,0,ITI,ITI4,12,Lazio
2021-09-01,LOM,60245,32369,27876,30613,25880,3752,0,0,ITC,ITC4,3,Lombardia
2021-09-21,VDA,384,212,172,107,264,13,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-09-22,CAL,8050,4183,3867,3366,4455,200,19,10,ITF,ITF6,18,Calabria
2021-09-23,PUG,18653,10036,8617,5569,11416,840,785,43,ITF,ITF4,16,Puglia
2021-04-10,PAB,5426,2676,2750,4620,586,220,0,0,ITH,ITH1,4,Provincia Autonoma Bolzano / Bozen
2021-05-18,MOL,1691,900,791,1021,654,16,0,0,ITF,ITF2,14,Molise
2021-05-19,PIE,32964,15213,17751,21452,10832,680,0,0,ITC,ITC1,1,Piemonte
2021-06-07,CAM,57625,27736,29889,52434,4024,1167,0,0,ITF,ITF3,15,Campania
2021-11-11,CAM,15842,7897,7945,2319,3753,164,3165,6441,ITF,ITF3,15,Campania
2021-02-13,SIC,2979,1124,1855,2686,254,39,0,0,ITG,ITG1,19,Sicilia
2021-04-06,UMB,5484,2248,3236,3005,2436,43,0,0,ITI,ITI2,10,Umbria
2021-05-24,LOM,89636,43531,46105,49312,39342,982,0,0,ITC,ITC4,3,Lombardia
2021-07-27,CAL,17599,8998,8601,5008,12483,108,0,0,ITF,ITF6,18,Calabria
2021-07-28,PUG,45469,22995,22474,14669,29844,956,0,0,ITF,ITF4,16,Puglia
2021-08-29,FVG,3214,1814,1400,1836,1269,109,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-10-28,LOM,31499,14511,16988,2631,7754,388,896,19830,ITC,ITC4,3,Lombardia
2021-10-30,LAZ,14066,6669,7397,1885,4392,254,212,7323,ITI,ITI4,12,Lazio
2021-03-22,MOL,1178,451,727,894,248,36,0,0,ITF,ITF2,14,Molise
2021-05-20,MAR,12686,5962,6724,7552,4879,255,0,0,ITI,ITI3,11,Marche
2021-08-03,CAM,32005,16225,15780,14405,16647,953,0,0,ITF,ITF3,15,Campania
2021-09-26,BAS,1873,1023,850,334,1494,40,5,0,ITF,ITF5,17,Basilicata
2021-01-10,ABR,949,404,545,944,0,5,0,0,ITF,ITF1,13,Abruzzo
2021-05-30,VDA,865,429,436,682,171,12,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-07-18,LIG,2384,1223,1161,375,1988,21,0,0,ITC,ITC3,7,Liguria
2021-07-20,LOM,95053,49105,45948,7258,87020,775,0,0,ITC,ITC4,3,Lombardia
2021-08-10,CAL,9791,4916,4875,3598,6085,108,0,0,ITF,ITF6,18,Calabria
2021-11-03,VDA,253,132,121,5,34,0,0,214,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-02-18,EMR,7047,2893,4154,6428,576,43,0,0,ITH,ITH5,8,Emilia-Romagna
2021-09-29,CAM,14559,7490,7069,5402,7941,515,234,467,ITF,ITF3,15,Campania
2021-06-14,CAL,14361,6513,7848,9620,4651,90,0,0,ITF,ITF6,18,Calabria
2021-07-26,VDA,1010,514,496,308,684,18,0,0,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2021-09-15,LOM,35026,18478,16548,8390,25386,1250,0,0,ITC,ITC4,3,Lombardia
2021-09-17,LAZ,12054,6357,5697,4853,6781,420,0,0,ITI,ITI4,12,Lazio
2021-10-11,FVG,3729,2027,1702,1293,1779,62,116,479,ITH,ITH4,6,Friuli-Venezia Giulia
2021-10-26,LIG,4798,2444,2354,729,1742,45,148,2134,ITC,ITC3,7,Liguria
2021-01-16,PIE,7915,2654,5261,7487,0,428,0,0,ITC,ITC1,1,Piemonte
2021-02-11,SAR,1322,490,832,1177,114,31,0,0,ITG,ITG2,20,Sardegna
2021-07-27,VEN,42298,22204,20094,11841,29984,473,0,0,ITH,ITH3,5,Veneto
2021-09-06,MAR,6373,3388,2985,1773,4386,214,0,0,ITI,ITI3,11,Marche
2021-01-23,PAT,586,338,248,392,183,11,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2021-01-30,SIC,7739,3557,4182,185,7551,3,0,0,ITG,ITG1,19,Sicilia
2021-03-28,UMB,1118,447,671,1060,24,34,0,0,ITI,ITI2,10,Umbria
2021-04-28,FVG,7384,3262,4122,3762,3431,191,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-04-29,ABR,12685,5854,6831,9274,3086,325,0,0,ITF,ITF1,13,Abruzzo
2021-05-04,BAS,4142,1995,2147,3566,524,52,0,0,ITF,ITF5,17,Basilicata
2021-06-05,LIG,8113,4133,3980,4955,3104,54,0,0,ITC,ITC3,7,Liguria
2021-08-01,TOS,29954,15340,14614,13758,15645,551,0,0,ITI,ITI1,9,Toscana
2021-10-03,ABR,335,188,147,144,179,12,0,0,ITF,ITF1,13,Abruzzo
2021-11-09,LIG,6713,3394,3319,631,1572,22,328,4160,ITC,ITC3,7,Liguria
2021-03-14,PIE,7977,3204,4773,4924,2842,211,0,0,ITC,ITC1,1,Piemonte
2021-04-09,SAR,12524,5545,6979,7918,4413,193,0,0,ITG,ITG2,20,Sardegna
2021-07-23,MOL,2947,1532,1415,882,2003,62,0,0,ITF,ITF2,14,Molise
2021-09-22,VEN,16439,8887,7552,7211,8184,413,508,123,ITH,ITH3,5,Veneto
2021-01-30,UMB,1630,506,1124,45,1585,0,0,0,ITI,ITI2,10,Umbria
2021-03-08,BAS,1500,739,761,829,631,40,0,0,ITF,ITF5,17,Basilicata
2021-04-09,LIG,12494,5572,6922,10468,1760,266,0,0,ITC,ITC3,7,Liguria
2021-05-03,PAT,4316,2225,2091,3807,154,355,0,0,ITH,ITH2,4,Provincia Autonoma Trento
2021-06-05,TOS,28462,13612,14850,20626,7542,294,0,0,ITI,ITI1,9,Toscana
2021-06-24,FVG,11165,5707,5458,1936,9097,132,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-01-26,MAR,2021,747,1274,87,1925,9,0,0,ITI,ITI3,11,Marche
2021-03-09,CAL,6628,3453,3175,5542,988,98,0,0,ITF,ITF6,18,Calabria
2021-04-11,CAM,17532,8612,8920,14988,2076,468,0,0,ITF,ITF3,15,Campania
2021-05-17,VEN,26554,13004,13550,15647,10000,907,0,0,ITH,ITH3,5,Veneto
2021-05-24,FVG,11508,5569,5939,7534,3610,364,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-06-04,BAS,4833,2289,2544,3746,1044,43,0,0,ITF,ITF5,17,Basilicata
2021-11-02,PUG,10925,5626,5299,1415,4165,171,272,4902,ITF,ITF4,16,Puglia
2021-11-03,ABR,4924,2584,2340,453,1828,65,455,2123,ITF,ITF1,13,Abruzzo
2021-02-22,ABR,2642,1174,1468,2577,29,36,0,0,ITF,ITF1,13,Abruzzo
2021-03-26,LIG,9364,4043,5321,6083,3135,146,0,0,ITC,ITC3,7,Liguria
2021-03-28,LOM,20650,7886,12764,13857,6238,555,0,0,ITC,ITC4,3,Lombardia
2021-04-11,SIC,15382,7598,7784,8243,7016,123,0,0,ITG,ITG1,19,Sicilia
2021-05-22,TOS,26041,12669,13372,21536,4252,253,0,0,ITI,ITI1,9,Toscana
2021-06-02,UMB,3926,1886,2040,3799,42,85,0,0,ITI,ITI2,10,Umbria
2021-08-23,MOL,1729,936,793,272,1444,13,0,0,ITF,ITF2,14,Molise
2021-02-06,VEN,4099,1354,2745,753,3321,25,0,0,ITH,ITH3,5,Veneto
2021-02-13,FVG,570,180,390,547,6,17,0,0,ITH,ITH4,6,Friuli-Venezia Giulia
2021-02-18,LAZ,10181,5071,5110,9061,908,212,0,0,ITI,ITI4,12,Lazio
2021-04-14,LOM,47256,21055,26201,33538,12777,941,0,0,ITC,ITC4,3,Lombardia
2021-08-17,EMR,22437,12336,10101,14491,6852,1094,0,0,ITH,ITH5,8,Emilia-Romagna
2021-09-12,BAS,1754,929,825,303,1423,28,0,0,ITF,ITF5,17,Basilicata
2021-10-23,PIE,14441,6951,7490,2076,5430,282,216,6437,ITC,ITC1,1,Piemonte
